"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"StudentTask","Pretest","","0","0","0","0","3"
"StudentTask","Activity","","6","0","0","0","0"
"LinkStudentToTeacher","LinkStudentToTeacher","","4","0","0","0","0"
"Class","ClassCreation","","0","2","0","2","0"
"Login","Login","","3","2","1","3","0"
"Pretest","Pretest","","0","2","0","1","0"
"SignUp","TeacherSignUp","","0","2","0","6","0"
"SignUp","StudentSignUp","","0","2","0","3","0"
"Students","AddStudents","","1","0","0","0","0"
"Login","StudentSignUp","","0","2","0","5","0"
"","","","0","0","0","0","4"
"StudentTask","CompletingNextQuiz","","0","2","0","1","0"
"BackOffice","BackOffice","","1","0","0","0","0"
