"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Login","Login","","1","1","3","4","0"
"LinkStudentToTeacher","LinkStudentToTeacher","","4","0","0","0","0"
"Login","StudentSignUp","","6","0","0","0","0"
"SignUp","TeacherSignUp","","7","0","0","0","0"
"SignUp","StudentSignUp","","3","0","1","0","0"
"","","","0","0","0","0","4"
"StudentTask","CompletingNextQuiz","","1","0","1","0","0"
"StudentTask","Activity","","6","0","0","0","0"
"Class","ClassCreation","","3","0","0","0","0"
"BackOffice","BackOffice","","1","0","0","0","0"
"Pretest","Pretest","","0","0","2","0","0"
"StudentTask","Pretest","","0","0","0","0","3"
"Students","AddStudents","","1","0","0","0","0"
