"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","0","0","4"
"Login","Login","","6","0","2","0","0"
"Login","StudentSignUp","","6","0","0","0","0"
"LinkStudentToTeacher","LinkStudentToTeacher","","4","0","0","0","0"
"Pretest","Pretest","","2","0","0","0","0"
"SignUp","TeacherSignUp","","7","0","0","0","0"
"StudentTask","Activity","","6","0","0","0","0"
"Class","ClassCreation","","3","0","0","0","0"
"StudentTask","CompletingNextQuiz","","2","0","0","0","0"
"SignUp","StudentSignUp","","4","0","0","0","0"
"StudentTask","Pretest","","0","0","0","0","3"
"BackOffice","BackOffice","","1","0","0","0","0"
"Students","AddStudents","","1","0","0","0","0"
