"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 27 04:31:45 GMT 2025","Fri Jun 27 04:32:02 GMT 2025","17059","Gradle suite","Gradle test","LoginTests","LoginTests","checkNewParentLogIn","Verify if a parent is able to sign up and then log in using username and password credentials","Check if a new user can create a parent's account, log out and then log in (Positive case)"
"unknown","Fri Jun 27 04:28:52 GMT 2025","Fri Jun 27 04:28:52 GMT 2025","0","Gradle suite","Gradle test","DemoTeacherAccount","DemoTeacherAccount","studentsFromFirstClass","studentsFromFirstClass","Actions with the first class"
"failed","Fri Jun 27 04:39:52 GMT 2025","Fri Jun 27 04:40:09 GMT 2025","17560","Gradle suite","Gradle test","StudentSignUpTests","StudentSignUpTests","checkStudentSignUpWithUsername","Verify if a student can sign up with username and password","A student can sign up with username and password, log out and login again"
"failed","Fri Jun 27 04:29:25 GMT 2025","Fri Jun 27 04:29:37 GMT 2025","12278","Gradle suite","Gradle test","ActivityTests","ActivityTests","teacherCanCreateCompetitionActivity","Verify if a teacher can create competition activity","Check if an existing teacher can create competition activity with default settings"
"failed","Fri Jun 27 04:41:32 GMT 2025","Fri Jun 27 04:41:44 GMT 2025","12277","Gradle suite","Gradle test","TeacherSignUpTests","TeacherSignUpTests","checkTeacherSignUpWithCustomSchoolInUSA","Verify if a teacher can create a custom school during signing up with the country USA","A teacher can sign up with username and password. Create a custom school on a third step. Country of the custom school is the USA. Pricing page is skipped. Created custom school appeared in BO. The teacher can login."
"failed","Fri Jun 27 04:30:54 GMT 2025","Fri Jun 27 04:31:06 GMT 2025","12234","Gradle suite","Gradle test","LinkStudentToTeacher","LinkStudentToTeacher","checkStudentJoinToTeacherViaClassCode","Verify if a student can join to teacher class with class code","A student can join to class using class code"
"failed","Fri Jun 27 04:29:51 GMT 2025","Fri Jun 27 04:30:03 GMT 2025","12103","Gradle suite","Gradle test","ActivityTests","ActivityTests","teacherCanCreateRecurringWeeklyActivity","Verify if a teacher can create recurring weekly activity","Check if a new teacher can create recurring weekly activity with default settings for all classes"
"failed","Fri Jun 27 04:33:09 GMT 2025","Fri Jun 27 04:33:27 GMT 2025","17584","Gradle suite","Gradle test","NextQuizTests","NextQuizTests","checkNextQuizCompletingWithCorrectAnswers","Verify if a student is able to pass quizzes","Check if a student can complete quizzes with correct answers"
"passed","Fri Jun 27 04:32:44 GMT 2025","Fri Jun 27 04:32:55 GMT 2025","11713","Gradle suite","Gradle test","LoginTests","LoginTests","checkStudentLogIn","Verify if an existing student is able to log in using username and password credentials","Check if an existing student can log in (Positive case)"
"failed","Fri Jun 27 04:32:03 GMT 2025","Fri Jun 27 04:32:20 GMT 2025","17536","Gradle suite","Gradle test","LoginTests","LoginTests","checkNewStudentLogIn","Verify if a student is able to sign up and then log in using username and password credentials","Check if a new user can create a student's account, log out and then log in (Positive case)"
"failed","Fri Jun 27 04:32:20 GMT 2025","Fri Jun 27 04:32:33 GMT 2025","12076","Gradle suite","Gradle test","LoginTests","LoginTests","checkNewTeacherLogIn","Verify if a teacher is able to sign up and then log in using username and password credentials","Check if a new user can create a teacher's account, log out and then log in (Positive case)"
"unknown","Fri Jun 27 04:28:51 GMT 2025","Fri Jun 27 04:28:51 GMT 2025","2","Gradle suite","Gradle test","DemoTeacherAccount","DemoTeacherAccount","studentsFromSecondClass","studentsFromSecondClass","Actions with the second class"
"failed","Fri Jun 27 04:43:12 GMT 2025","Fri Jun 27 04:43:24 GMT 2025","12169","Gradle suite","Gradle test","TeacherSignUpTests","TeacherSignUpTests","checkTeacherSignUpWithUsername","Verify if a teacher can sign up with username and password","A teacher can sign up with username. Select school page and pricing page are skipped. No linked school for this teacher in BO. Teacher can log in to the system"
"failed","Fri Jun 27 04:30:42 GMT 2025","Fri Jun 27 04:30:54 GMT 2025","12207","Gradle suite","Gradle test","BOTests","BOTests","makeTeacherPrem","Verify if an admin can make teacher premium","An admin can make teacher premium"
"failed","Fri Jun 27 04:37:19 GMT 2025","Fri Jun 27 04:37:50 GMT 2025","30401","Gradle suite","Gradle test","SocialLinkingTests","SocialLinkingTests","checkTeacherLinkToMS","Verify if a teacher can link account to Microsoft","A teacher can link account to Microsoft through social feature"
"failed","Fri Jun 27 04:35:41 GMT 2025","Fri Jun 27 04:36:17 GMT 2025","35771","Gradle suite","Gradle test","SocialLinkingTests","SocialLinkingTests","checkStudentLinkToMS","Verify if a student can link account to Microsoft","A student can link account to Microsoft through social feature"
"failed","Fri Jun 27 04:36:17 GMT 2025","Fri Jun 27 04:36:48 GMT 2025","30796","Gradle suite","Gradle test","SocialLinkingTests","SocialLinkingTests","checkTeacherLinkToClever","Verify if a teacher can link account to Clever","A teacher can link account to Clever through social feature"
"failed","Fri Jun 27 04:40:23 GMT 2025","Fri Jun 27 04:40:35 GMT 2025","12394","Gradle suite","Gradle test","TeacherClassTests","TeacherClassTests","checkClassCreationWithAdditionalInfoAsNonPremiumTeacher","Verify if a non prem teacher can create classes with additional options","A non prem teacher can create classes with available additional settings"
"failed","Fri Jun 27 04:39:03 GMT 2025","Fri Jun 27 04:39:51 GMT 2025","48486","Gradle suite","Gradle test","StudentSignUpTests","StudentSignUpTests","checkStudentSignUpWithMicrosoft","Verify if a student can sign up with Microsoft","A student can sign up with Microsoft, log out and login with Microsoft again"
"failed","Fri Jun 27 04:37:50 GMT 2025","Fri Jun 27 04:38:21 GMT 2025","30656","Gradle suite","Gradle test","StudentSignUpTests","StudentSignUpTests","checkStudentSignUpWithClever","Verify if a student can sign up with Clever","A student can sign up with Clever, log out and login with Clever again"
"passed","Fri Jun 27 04:32:57 GMT 2025","Fri Jun 27 04:33:08 GMT 2025","11476","Gradle suite","Gradle test","LoginTests","LoginTests","checkTeacherLogIn","Verify if an existing teacher is able to log in using username and password credentials","Check if an existing teacher can log in (Positive case)"
"failed","Fri Jun 27 04:33:28 GMT 2025","Fri Jun 27 04:33:45 GMT 2025","17565","Gradle suite","Gradle test","NextQuizTests","NextQuizTests","checkNextQuizCompletingWithRandomAnswers","Verify if a student is able to complete quizzes","Check if a can complete quizzes with random answers"
"failed","Fri Jun 27 04:33:46 GMT 2025","Fri Jun 27 04:34:04 GMT 2025","17911","Gradle suite","Gradle test","PretestTests","PretestTests","checkPretestExecutionAsNewStudentWithCorrectAnswers","Verify if a new student can complete a pretest with correct answers","A student who was created with username+password can complete a pretest with correct answers"
"unknown","Fri Jun 27 04:28:52 GMT 2025","Fri Jun 27 04:28:52 GMT 2025","0","Gradle suite","Gradle test","DemoTeacherAccount","DemoTeacherAccount","studentsFromThirdClass","studentsFromThirdClass","Actions with the third class"
"failed","Fri Jun 27 04:40:10 GMT 2025","Fri Jun 27 04:40:22 GMT 2025","12196","Gradle suite","Gradle test","TeacherClassTests","TeacherClassTests","checkClassCreation","Verify if a teacher can create classes","A teacher can create a few classes only with the class name"
"failed","Fri Jun 27 04:35:05 GMT 2025","Fri Jun 27 04:35:41 GMT 2025","35818","Gradle suite","Gradle test","SocialLinkingTests","SocialLinkingTests","checkStudentLinkToGoogle","Verify if a student can link account to Google","A student can link account to Google through social feature"
"failed","Fri Jun 27 04:28:52 GMT 2025","Fri Jun 27 04:29:23 GMT 2025","31503","Gradle suite","Gradle test","ActivityTests","ActivityTests","studentCanCompleteSpecificPassageActivity","Verify if students can complete specific passage activity","Check if teacher can create an activity, activity is started and new student can complete pretest, start activity, complete next quiz and complete activity"
"unknown","Fri Jun 27 04:28:52 GMT 2025","Fri Jun 27 04:28:52 GMT 2025","0","Gradle suite","Gradle test","NewPretestTests","NewPretestTests","checkPretestExecutionAsNewStudentWithCorrectAnswers","Verify if a new student can complete a pretest with correct answers","A student who was created with username+password can complete a pretest with correct answers"
"failed","Fri Jun 27 04:31:20 GMT 2025","Fri Jun 27 04:31:32 GMT 2025","12282","Gradle suite","Gradle test","LinkStudentToTeacher","LinkStudentToTeacher","checkStudentLinkClassOnSigningUp","Verify if a student can join a class during signing up","A student can join to class during signing up"
"unknown","Fri Jun 27 04:28:52 GMT 2025","Fri Jun 27 04:28:52 GMT 2025","0","Gradle suite","Gradle test","NewPretestTests","NewPretestTests","checkPretestExecutionAsNewStudentWithRandomAnswers","Verify if a new student can complete a pretest","A student who was created with username+password can complete a pretest with random answers"
"failed","Fri Jun 27 04:36:48 GMT 2025","Fri Jun 27 04:37:19 GMT 2025","30311","Gradle suite","Gradle test","SocialLinkingTests","SocialLinkingTests","checkTeacherLinkToGoogle","Verify if a teacher can link account to Google","A teacher can link account to Google through social feature"
"failed","Fri Jun 27 04:40:48 GMT 2025","Fri Jun 27 04:41:19 GMT 2025","30905","Gradle suite","Gradle test","TeacherSignUpTests","TeacherSignUpTests","checkTeacherSignUpWithClever","Verify if a teacher can sign up with Clever","A teacher can sign up with Clever and log out. Teacher can log in to the system with Clever"
"failed","Fri Jun 27 04:42:25 GMT 2025","Fri Jun 27 04:43:11 GMT 2025","45744","Gradle suite","Gradle test","TeacherSignUpTests","TeacherSignUpTests","checkTeacherSignUpWithMS","Verify if a teacher can sign up with MS","A teacher can sign up with Microsoft and log out. Teacher can log in to the system with Microsoft"
"failed","Fri Jun 27 04:29:38 GMT 2025","Fri Jun 27 04:29:50 GMT 2025","12131","Gradle suite","Gradle test","ActivityTests","ActivityTests","teacherCanCreateCompetitionActivityWithCustomSettings","Verify if a teacher can create competition activity with custom settings","Check if an existing teacher can create competition activity with custom settings"
"passed","Fri Jun 27 04:32:33 GMT 2025","Fri Jun 27 04:32:43 GMT 2025","9666","Gradle suite","Gradle test","LoginTests","LoginTests","checkParentLogIn","Verify if an existing parent is able to log in using username and password credentials","Check if an existing parent can log in (Positive case)"
"failed","Fri Jun 27 04:31:07 GMT 2025","Fri Jun 27 04:31:20 GMT 2025","12232","Gradle suite","Gradle test","LinkStudentToTeacher","LinkStudentToTeacher","checkStudentJoinToTeacherViaTeacherEmail","Verify if a student send request to join to teacher and teacher can accept it","A student can send request to join to a teacher using teacher email. Teacher can accept this request"
"failed","Fri Jun 27 04:41:44 GMT 2025","Fri Jun 27 04:42:24 GMT 2025","39662","Gradle suite","Gradle test","TeacherSignUpTests","TeacherSignUpTests","checkTeacherSignUpWithGoogle","Verify if a teacher can sign up with Google","A teacher can sign up with Google and log out. Teacher can log in to the system with Google"
"failed","Fri Jun 27 04:43:37 GMT 2025","Fri Jun 27 04:43:54 GMT 2025","17604","Gradle suite","Gradle test","LoginTests","LoginTests","checkLogInWithInvalidPassword","Verify if a user ISN'T able to log in using incorrect password","Check if a user can't log in using not correct password (Negative case)"
"failed","Fri Jun 27 04:30:29 GMT 2025","Fri Jun 27 04:30:41 GMT 2025","12226","Gradle suite","Gradle test","AddStudentsTests","AddStudentsTests","checkClassAndStudentCreation","Verify if a teacher can create classes and add students to these classes","A teacher can create classes, then add students to these classes. These students can log in to the system "
