"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"SignUp","TeacherSignUp","","7","0","0","0","0"
"StudentTask","CompletingNextQuiz","","0","2","0","1","0"
"Login","StudentSignUp","","0","2","0","5","0"
"LinkStudentToTeacher","LinkStudentToTeacher","","4","0","0","0","0"
"SignUp","StudentSignUp","","4","0","0","0","0"
"Class","ClassCreation","","3","0","0","0","0"
"Login","Login","","3","2","1","3","0"
"StudentTask","Pretest","","0","0","0","0","3"
"StudentTask","Activity","","6","0","0","0","0"
"Students","AddStudents","","1","0","0","0","0"
"","","","0","0","0","0","4"
"Pretest","Pretest","","0","2","0","1","0"
"BackOffice","BackOffice","","1","0","0","0","0"
