"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Login","StudentSignUp","","6","0","0","0","0"
"Login","Login","","1","0","7","0","0"
"Class","ClassCreation","","0","0","3","0","0"
"Students","AddStudents","","1","0","0","0","0"
"LinkStudentToTeacher","LinkStudentToTeacher","","4","0","0","0","0"
"BackOffice","BackOffice","","0","0","1","0","0"
"StudentTask","CompletingNextQuiz","","0","0","2","0","0"
"SignUp","StudentSignUp","","3","0","1","0","0"
"StudentTask","Pretest","","0","0","0","0","3"
"Pretest","Pretest","","0","0","2","0","0"
"StudentTask","Activity","","1","0","5","0","0"
"SignUp","TeacherSignUp","","7","0","0","0","0"
"","","","0","0","0","0","4"
