"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"StudentTask","Activity","","5","0","1","0","0"
"Login","StudentSignUp","","6","0","0","0","0"
"Pretest","Pretest","","2","0","0","0","0"
"BackOffice","BackOffice","","0","0","1","0","0"
"Login","Login","","6","0","2","0","0"
"SignUp","TeacherSignUp","","7","0","0","0","0"
"LinkStudentToTeacher","LinkStudentToTeacher","","4","0","0","0","0"
"StudentTask","Pretest","","0","0","0","0","3"
"StudentTask","CompletingNextQuiz","","2","0","0","0","0"
"SignUp","StudentSignUp","","4","0","0","0","0"
"Class","ClassCreation","","0","0","3","0","0"
"","","","0","0","0","0","4"
"Students","AddStudents","","1","0","0","0","0"
