"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Login","StudentSignUp","","6","0","0","0","0"
"LinkStudentToTeacher","LinkStudentToTeacher","","4","0","0","0","0"
"Login","Login","","1","0","7","0","0"
"SignUp","StudentSignUp","","2","1","1","0","0"
"SignUp","TeacherSignUp","","7","0","0","0","0"
"","","","0","0","0","0","4"
"Students","AddStudents","","1","0","0","0","0"
"Pretest","Pretest","","0","0","2","0","0"
"Class","ClassCreation","","1","0","2","0","0"
"StudentTask","Pretest","","0","0","0","0","3"
"StudentTask","Activity","","6","0","0","0","0"
"BackOffice","BackOffice","","0","0","1","0","0"
"StudentTask","CompletingNextQuiz","","0","1","1","0","0"
