"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Sun Jul 20 04:42:26 GMT 2025","Sun Jul 20 04:42:26 GMT 2025","0","Gradle suite","Gradle test","DemoTeacherAccount","DemoTeacherAccount","studentsFromSecondClass","studentsFromSecondClass","Actions with the second class"
"skipped","Sun Jul 20 06:23:59 GMT 2025","Sun Jul 20 06:23:59 GMT 2025","0","Gradle suite","Gradle test","StudentSignUpTests","StudentSignUpTests","checkStudentSignUpWithMicrosoft","Verify if a student can sign up with Microsoft","A student can sign up with Microsoft, log out and login with Microsoft again"
"skipped","Sun Jul 20 04:58:29 GMT 2025","Sun Jul 20 04:58:29 GMT 2025","0","Gradle suite","Gradle test","LoginTests","LoginTests","checkTeacherLogIn","Verify if an existing teacher is able to log in using username and password credentials","Check if an existing teacher can log in (Positive case)"
"failed","Sun Jul 20 04:45:36 GMT 2025","Sun Jul 20 04:45:53 GMT 2025","17624","Gradle suite","Gradle test","LoginTests","LoginTests","checkNewStudentLogIn","Verify if a student is able to sign up and then log in using username and password credentials","Check if a new user can create a student's account, log out and then log in (Positive case)"
"failed","Sun Jul 20 04:46:17 GMT 2025","Sun Jul 20 04:53:59 GMT 2025","461568","Gradle suite","Gradle test","LoginTests","LoginTests","checkStudentLogIn","Verify if an existing student is able to log in using username and password credentials","Check if an existing student can log in (Positive case)"
"skipped","Sun Jul 20 07:22:29 GMT 2025","Sun Jul 20 07:22:29 GMT 2025","0","Gradle suite","Gradle test","TeacherSignUpTests","TeacherSignUpTests","checkTeacherSignUpWithUsername","Verify if a teacher can sign up with username and password","A teacher can sign up with username. Select school page and pricing page are skipped. No linked school for this teacher in BO. Teacher can log in to the system"
"skipped","Sun Jul 20 07:17:59 GMT 2025","Sun Jul 20 07:17:59 GMT 2025","1","Gradle suite","Gradle test","TeacherSignUpTests","TeacherSignUpTests","checkTeacherSignUpWithMS","Verify if a teacher can sign up with MS","A teacher can sign up with Microsoft and log out. Teacher can log in to the system with Microsoft"
"failed","Sun Jul 20 04:45:53 GMT 2025","Sun Jul 20 04:46:06 GMT 2025","12467","Gradle suite","Gradle test","LoginTests","LoginTests","checkNewTeacherLogIn","Verify if a teacher is able to sign up and then log in using username and password credentials","Check if a new user can create a teacher's account, log out and then log in (Positive case)"
"skipped","Sun Jul 20 06:19:29 GMT 2025","Sun Jul 20 06:19:29 GMT 2025","1","Gradle suite","Gradle test","StudentSignUpTests","StudentSignUpTests","checkStudentSignUpWithGoogle","Verify if a student can sign up with Google","A student can sign up with Google, log out and login with Google again"
"failed","Sun Jul 20 04:43:23 GMT 2025","Sun Jul 20 04:43:35 GMT 2025","12233","Gradle suite","Gradle test","ActivityTests","ActivityTests","teacherCanCreateRecurringWeeklyActivity","Verify if a teacher can create recurring weekly activity","Check if a new teacher can create recurring weekly activity with default settings for all classes"
